Wall time,Step,Value
1626499856.6006246,0,1.0081528425216675
1626499884.4109204,1,0.4153185784816742
1626499911.453092,2,0.32701417803764343
1626499938.6848795,3,0.27596864104270935
1626499968.0857563,4,0.24159231781959534
1626499996.4348917,5,0.21635377407073975
1626500024.810444,6,0.19770586490631104
1626500053.0046625,7,0.1760024130344391
1626500081.7264428,8,0.17312870919704437
1626500110.6198823,9,0.16946621239185333
1626500138.6050649,10,0.15069036185741425
1626500167.466595,11,0.14535993337631226
1626500196.7495985,12,0.13103877007961273
1626500224.1152666,13,0.12517142295837402
1626500251.4538674,14,0.10871252417564392
1626500278.5937226,15,0.10017549246549606
1626500306.1822143,16,0.10494061559438705
1626500333.7020624,17,0.10621446371078491
1626500361.2955976,18,0.10364727675914764
1626500389.150671,19,0.11055035144090652
