Wall time,Step,Value
1626389302.2922573,0,0.6091601252555847
1626389329.3159685,1,0.20913325250148773
1626389356.2942114,2,0.15886181592941284
1626389383.2066302,3,0.13055320084095
1626389409.8652916,4,0.11095338314771652
1626389435.5056136,5,0.0988287478685379
1626389463.1527772,6,0.07603516429662704
1626389489.4024835,7,0.06963769346475601
1626389516.6970716,8,0.057874806225299835
1626389543.4648192,9,0.05141790583729744
1626389569.2778542,10,0.05486256629228592
1626389595.4744773,11,0.048521678894758224
1626389621.7493606,12,0.046487633138895035
1626389647.7224138,13,0.04791177809238434
1626389674.0629807,14,0.049893446266651154
1626389701.0182786,15,0.04824161157011986
1626389727.7254846,16,0.04458395019173622
1626389754.3001356,17,0.048936501145362854
1626389780.6249235,18,0.04666895419359207
1626389806.818055,19,0.04657437279820442
