Wall time,Step,Value
1626555339.948263,0,1.302077293395996
1626555371.1758072,1,0.49795693159103394
1626555402.2865202,2,0.3040471374988556
1626555433.8476334,3,0.24503618478775024
1626555465.1979787,4,0.20335225760936737
1626555496.3145127,5,0.16981233656406403
1626555527.7407672,6,0.1550913155078888
1626555558.1960192,7,0.15504606068134308
1626555589.3092809,8,0.13818912208080292
1626555620.330806,9,0.11277516931295395
1626555652.589972,10,0.1023583635687828
1626555685.222325,11,0.09761622548103333
1626555716.3892996,12,0.10435619950294495
1626555747.7301302,13,0.10402554273605347
1626555778.345771,14,0.09662290662527084
1626555810.3857255,15,0.09306254237890244
1626555843.0785851,16,0.09144050627946854
1626555876.2836564,17,0.09769993275403976
1626555908.4556468,18,0.09333875775337219
1626555939.5105283,19,0.09457822889089584
